electricity,irradiance_direct,irradiance_diffuse,temperature
0.17500000000000002,0.11,0.107,26.001
0.299,0.149,0.219,28.244
0.507,0.322,0.325,30.531
0.6910000000000001,0.584,0.354,32.842
0.709,0.5750000000000001,0.404,34.529
0.587,0.243,0.54,35.117
0.389,0.048,0.449,34.6
0.28,0.022,0.333,33.716
0.20400000000000001,0.015,0.244,32.635
0.091,0.005,0.11900000000000001,31.135
0.024,0.002,0.04,29.621
0.002,0.001,0.009000000000000001,28.446
0.0,0.0,0.0,27.532
0.0,0.0,0.0,26.79
0.0,0.0,0.0,26.162
0.0,0.0,0.0,25.689
0.0,0.0,0.0,25.321
0.0,0.0,0.0,25.122
0.0,0.0,0.0,24.967
0.0,0.0,0.0,24.77
0.0,0.0,0.0,24.537
0.0,0.0,0.0,24.355
0.0,0.0,0.0,24.218
0.002,0.003,0.007,24.202
0.039,0.009000000000000001,0.052000000000000005,24.798000000000002
0.148,0.028,0.159,26.348
0.316,0.08,0.309,28.751
0.484,0.191,0.425,30.896
0.601,0.315,0.47800000000000004,32.444
0.638,0.365,0.491,33.642
0.577,0.253,0.511,34.157
0.484,0.161,0.466,34.191
0.381,0.112,0.373,33.888
0.259,0.07200000000000001,0.255,33.228
0.11800000000000001,0.03,0.126,32.116
0.021,0.008,0.031,30.634
0.0,0.0,0.0,29.143
0.0,0.0,0.0,28.252
0.0,0.0,0.0,27.247
0.0,0.0,0.0,26.045
0.0,0.0,0.0,24.75
0.0,0.0,0.0,23.597
0.0,0.0,0.0,22.727
0.0,0.0,0.0,22.003
0.0,0.0,0.0,21.493
0.0,0.0,0.0,21.151
0.0,0.0,0.0,20.943
0.002,0.003,0.007,20.971
